split,ablation,task_success,task_success_ci95,correction_efficiency,correction_efficiency_ci95,damage,damage_ci95,intervention_magnitude,intervention_magnitude_ci95,boundary_error,boundary_error_ci95,intent_preservation,intent_preservation_ci95,unsafe_override,unsafe_override_ci95,robust_utility,robust_utility_ci95
dynamics_mismatch,full_minimum_intervention_boundary_learner_v5,0.49048,0.02354,0.64950,0.03031,0.05238,0.01389,0.52948,0.00988,0.16464,0.00734,0.57351,0.00567,0.02262,0.01011,0.67956,0.03313
dynamics_mismatch,minus_minimum_norm_objective,0.57500,0.02153,0.77419,0.02922,0.04881,0.00965,0.59685,0.00854,0.12710,0.00487,0.56699,0.00575,0.02024,0.00890,0.78809,0.02688
dynamics_mismatch,minus_counterfactual_boundary,0.43095,0.02367,0.55245,0.03252,0.04048,0.00812,0.47387,0.01110,0.24480,0.01253,0.58240,0.00564,0.02202,0.00718,0.61070,0.03338
dynamics_mismatch,minus_intent_preservation,0.49226,0.02678,0.65078,0.03385,0.04821,0.00806,0.51165,0.00955,0.17212,0.00917,0.54972,0.00598,0.02440,0.00726,0.68156,0.03508
dynamics_mismatch,minus_human_effort_cost,0.58036,0.01834,0.78503,0.02553,0.04643,0.01287,0.58849,0.00860,0.12867,0.00486,0.56823,0.00575,0.02976,0.00758,0.79515,0.02478
dynamics_mismatch,minus_safety_override,0.57917,0.02502,0.78619,0.03297,0.05833,0.01164,0.56933,0.00930,0.14903,0.00601,0.57456,0.00576,0.05417,0.00975,0.78334,0.03117
dynamics_mismatch,minus_query_throttling,0.53333,0.01749,0.71129,0.02168,0.03750,0.01114,0.52948,0.00988,0.16464,0.00734,0.57351,0.00567,0.02202,0.00628,0.74391,0.02596
dynamics_mismatch,minus_calibration,0.51488,0.03088,0.68519,0.04340,0.04464,0.01405,0.52948,0.00988,0.16464,0.00734,0.57351,0.00567,0.02202,0.00921,0.71600,0.04094
dynamics_mismatch,all_corrections_imitation,0.41726,0.04415,0.48096,0.04773,0.05298,0.01407,0.49425,0.01530,0.36510,0.01830,0.58341,0.00642,0.05238,0.00900,0.56430,0.05076
dynamics_mismatch,preference_only_objective,0.47441,0.03198,0.62306,0.04471,0.05655,0.01196,0.48319,0.00642,0.19474,0.00677,0.55185,0.00574,0.04762,0.01114,0.65550,0.04175
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,0.47560,0.02168,0.64840,0.03285,0.04821,0.00877,0.48009,0.00740,0.19678,0.00555,0.51930,0.00639,0.01428,0.00397,0.66441,0.02945
combined_hard_shift,minus_minimum_norm_objective,0.54345,0.02460,0.75566,0.03792,0.05536,0.01660,0.55036,0.00770,0.14241,0.00584,0.51455,0.00639,0.02143,0.00608,0.74405,0.03122
combined_hard_shift,minus_counterfactual_boundary,0.43512,0.03010,0.56678,0.03944,0.04107,0.01160,0.43016,0.00827,0.29132,0.01085,0.52946,0.00587,0.01309,0.00516,0.61557,0.04006
combined_hard_shift,minus_intent_preservation,0.47024,0.03341,0.64112,0.04850,0.04762,0.01072,0.46392,0.00756,0.21197,0.00677,0.50574,0.00643,0.01428,0.00608,0.65730,0.04471
combined_hard_shift,minus_human_effort_cost,0.55060,0.02430,0.77419,0.03651,0.05476,0.00848,0.54479,0.00753,0.14173,0.00570,0.51492,0.00640,0.01488,0.00783,0.75780,0.03162
combined_hard_shift,minus_safety_override,0.53274,0.02367,0.75559,0.04237,0.05119,0.00742,0.51878,0.00655,0.17664,0.00615,0.51710,0.00496,0.04940,0.00953,0.73025,0.03367
combined_hard_shift,minus_query_throttling,0.49643,0.01954,0.67194,0.02745,0.04048,0.00949,0.48009,0.00740,0.19678,0.00555,0.51930,0.00639,0.01964,0.00697,0.69295,0.02800
combined_hard_shift,minus_calibration,0.49702,0.03241,0.68034,0.04360,0.04702,0.00960,0.48009,0.00740,0.19678,0.00555,0.51930,0.00639,0.01964,0.00675,0.69198,0.04200
combined_hard_shift,all_corrections_imitation,0.33988,0.02017,0.35437,0.02127,0.05774,0.00628,0.48524,0.01158,0.48469,0.01684,0.54946,0.00560,0.05298,0.00860,0.45106,0.02419
combined_hard_shift,preference_only_objective,0.44821,0.01359,0.60449,0.02176,0.06726,0.00953,0.45655,0.00595,0.24587,0.00750,0.50090,0.00503,0.04821,0.00944,0.61340,0.02116
