split,method,seed,rows,task_success,correction_efficiency,damage,intervention_magnitude,boundary_error,intent_preservation,query_rate,human_time,unsafe_override,calibration_error,regret_to_oracle,intervention_sparsity,robust_utility
adversarial_helpfulness,active_entropy_query_policy,0,192,0.41146,0.61392,0.05208,0.29539,0.33332,0.59603,0.60417,0.17563,0.07292,0.20719,0.21053,0.60997,0.59910
adversarial_helpfulness,active_entropy_query_policy,1,192,0.45312,0.67017,0.04688,0.29196,0.36244,0.56811,0.67708,0.19017,0.06250,0.24050,0.22166,0.62567,0.65527
adversarial_helpfulness,active_entropy_query_policy,2,192,0.43229,0.67159,0.05208,0.28024,0.35146,0.58119,0.66146,0.17613,0.10417,0.22743,0.22066,0.62440,0.62264
adversarial_helpfulness,active_entropy_query_policy,3,192,0.41667,0.62436,0.05208,0.28584,0.35778,0.59217,0.56250,0.15963,0.10938,0.22101,0.22632,0.62617,0.59742
adversarial_helpfulness,active_entropy_query_policy,4,192,0.42188,0.63252,0.05208,0.29237,0.34409,0.59515,0.64583,0.18720,0.10417,0.21824,0.22289,0.62381,0.60492
adversarial_helpfulness,active_entropy_query_policy,5,192,0.39062,0.59326,0.02604,0.29489,0.32927,0.56760,0.58854,0.17244,0.08854,0.21606,0.21632,0.61551,0.57961
adversarial_helpfulness,active_entropy_query_policy,6,192,0.46354,0.67664,0.05208,0.27456,0.35573,0.57884,0.66146,0.18057,0.09896,0.22710,0.22709,0.63184,0.65633
adversarial_helpfulness,active_entropy_query_policy,7,192,0.34896,0.52383,0.03125,0.29289,0.36324,0.56966,0.63542,0.18053,0.06250,0.23878,0.22921,0.62492,0.52763
adversarial_helpfulness,active_entropy_query_policy,8,192,0.34375,0.50581,0.04688,0.29455,0.33976,0.57243,0.61979,0.18231,0.07292,0.22599,0.22120,0.61792,0.50734
adversarial_helpfulness,active_entropy_query_policy,9,192,0.47396,0.69380,0.04688,0.28776,0.35415,0.58340,0.65625,0.19007,0.08854,0.22128,0.21432,0.62493,0.67596
adversarial_helpfulness,dagger_full_correction,0,192,0.39062,0.45275,0.02604,0.34317,0.55765,0.61462,1.00000,0.64963,0.07812,0.24630,0.30418,0.52402,0.53168
adversarial_helpfulness,dagger_full_correction,1,192,0.35417,0.42044,0.05208,0.32805,0.56225,0.58094,1.00000,0.63995,0.11458,0.26737,0.31068,0.55616,0.46203
adversarial_helpfulness,dagger_full_correction,2,192,0.37500,0.38819,0.05729,0.33007,0.62998,0.59464,1.00000,0.64124,0.07812,0.27835,0.33013,0.53406,0.48388
